companyId,companyName,gpgName,timestamp,isContacted
1,Grupo Nutresa,Capi,2025-04-29T19:02:10.984Z,true
2,Bancolombia,mafe,2025-04-29T20:51:51.899Z,true
27,Leonisa,salome,2025-04-29T22:44:07.999Z,true
10,Trii,g,2025-04-30T00:37:46.007Z,true
